Pays;Type;Question;Bonne_reponse;Choix 1;Choix 2;Choix 3;
Bresil;Boss;Combien de fois les Bresiliens ont-ils ete champions du monde ?;5 fois;2 fois;3 fois;5 fois;
Argentine;Boss;Quel argentin termina meilleur buteur de la coupe du monde en 1978?;Kempes;Kempes;Messi;Maradonna;
France;Boss;En quelle annee la France a dispute son premier match de coupe du monde? ;1904;1986;2006;1904;
Angleterre;Boss;Quel est le nom du seul capitaine anglais a avoir brandi la Coupe du monde ?;Bobby Moore;Harry Kane;Bobby Moore;Harry Maguire;
Pays-bas;Boss;Combien de fois les Pays-bas ont-ils gagnes la coupe du monde ?;Jamais;1 fois;2 fois;Jamais;
Croatie;Boss;Quel est le surnom de l equipe nationale de la Croatie ?;Les vatreni ;Les Dames;La Selecao;Les Vatreni;
Portugal;Boss;Quelle equipe a elimine le Portugal en Quart de finale de la CDM 2022 ?;Maroc;Inde;Maroc;Australie;
Espagne;Normal;Quelle equipe a elimine l Espagne en huitieme de finale de la CDM 2022 ?;Maroc;Allemagne;Maroc;Costa Rica;
Maroc;Boss;Quelle est la premier annee de participation du Maroc en coupe du monde ?;1960;1960;1956;1964;
USA;Normal;Quel est le meilleur joueur americain actuellement ? ;Christian Pulisic;Martin Braithwaite;Christian Pulisic;Danny Drinkwater;
Japon;Normal ;La finale de la CDM 2002 a ete organise par le japon ?;Vrai;Faux;Je ne sais pas ;Vrai;
Australie;Normal;Quelles sont les couleurs emblematiques de l Australie ? ;Jaune et vert;Bleu et vert;Rouge et noir;Jaune et vert;
Arabie-saoudite;Normal;Quel exploit a realise l Arabie-saoudite lors du mondial 2022 ?;Battre l Argentine;Battre l Argentine;Marquer des buts;Remporter la coupe;
Senegal;Normal;Quelle equipe a elimine le Senegal au mondial 2002 ?;Turquie;Turquie;Espagne;Hongrie;
Qatar;Normal;Quelle est l equipe la plus faible du mondial 2022 ?;Qatar;Equateur;Qatar;Algerie;
Equateur;Normal;Combien de fois l equateur a participe au mondial ? ;4 fois;1 fois;2 fois;4 fois;
Iran;Normal;Combien de fois l Iran a participe au mondial ? ;6 participations;4 participations;6 participations;8 participations;
Pays de Galles;Normal;Quel est le meilleur joueur gallois actuellement ? ?;Gareth Bale;Gareth Bale;Ben Davies;Mark Hughes;
Pologne;Boss;Combien de buts Lewandowski a marque avec la Pologne ? ;44;39;21;44;
Mexique;Boss;Quel a ete le record du Mexique en coupe du monde ? ;Quart de final;Finale;Demi final;Quart de final;
Tunisie;Normal;Quel est le surnom de la Tunisie ? ;Aigle de cartage;Les Diables rouges; Nationnalmannschaft;Aigle de cartage;
Danemark;Normal;Le Danemark a-t-il deja gagne la coupe du monde ?;Faux;Vrai;Faux;Peut-etre;
Allemagne;Boss;En quelle annee l Allemagne a remporte sa 4 eme coupe du monde ?;2014;2006;2010;2014;
Costa Rica;Normal;Le Costa Rica a termine dernier de son groupe au mondial 2022 ?;Comme d habitude;Comme d habitude;Non;Reponse 1;
Canada;Normal;Le Canada compte 2 participations en coupe du monde ?;Vrai;Faux;Vrai;Je ne sais pas;
Belgique;Boss;Comment surnomme t-on la Belgique ? ;Les diables rouges;Lions de l atlas;On les surnomme pas (trop nul);Les diables rouges;
Suisse;Normal;La Suisse est le seul pays a avoir organise 2 coupes du monde ?;Faux;Vrai;Faux;C est quoi la suisse ?;
Cameroun;Boss;En quelle annee le Cameroun realise-t-il l exploit des quarts de finale de coupe du monde ? ;1990;1986;1990;2000;
Serbie;Normal;Quelles sont les editions auxquelles la Serbie a participe ? ;2010-2018-2022;2010-2014-2018;2006-2010-2018;2010-2018-2022;
Coree du sud;Normal;Quel est le meilleur joueur de la Coree du sud ? ;Heung min Son;Kim min-jae;Kim Seung-Gyu;Heung min Son;
Uruguay;Normal;La premiere coupe du monde de l histoire etait organise par l Uruguay ? ;Vrai;Vrai;Faux;Je ne sais pas;
Ghana;Boss;Le Ghana a-t-il deja atteint les demi-finale d une coupe du monde ? ;Faux;Vrai;Faux;Je ne sais pas; 
